event_id,incident_date,incident_time,site,department,shift,incident_type,description,injury_outcome,recordable,lost_time,near_miss,potential_sif,severity,frequency,critical_control_verified,inspection_completion_rate,training_compliance_pct,exposure_hours,latitude,longitude,risk_score
HSE-1028,2026-01-17,13:50,Depot B,Maintenance,Day,Chemical Exposure,Chemical Exposure event reported at Depot B during day shift.,First Aid,False,False,False,False,1,1,True,96.4,99.0,932,41.8781,-87.6298,1
HSE-1029,2026-01-18,01:00,Depot B,Logistics,Night,Vehicle Interaction,Pedestrian entered forklift travel path at Depot B during night shift. Credible worst case could be life-altering.,Near Miss,False,True,True,True,3,4,True,65.6,83.0,1176,41.8781,-87.6298,12
HSE-1030,2026-01-19,01:40,Depot B,Maintenance,Night,Slip / Trip,Worker slipped near transfer walkway at Depot B during night shift.,First Aid,True,True,False,False,4,3,True,96.8,93.4,938,41.8781,-87.6298,12
HSE-1031,2026-01-19,17:00,Terminal E,Logistics,Day,Struck By,Struck By event reported at Terminal E during day shift.,First Aid,False,False,False,False,1,2,True,64.5,84.1,1034,34.0522,-118.2437,2
HSE-1032,2026-01-20,09:30,Plant C,Operations,Day,Manual Handling,Manual Handling event reported at Plant C during day shift.,Lost Time,False,False,False,False,1,5,True,100.0,87.2,906,29.7604,-95.3698,5
HSE-1033,2026-01-20,15:00,Terminal E,Operations,Day,Equipment Contact,Equipment Contact event reported at Terminal E during day shift.,Restricted Work,False,False,False,False,1,5,True,81.5,98.5,991,34.0522,-118.2437,5
HSE-1034,2026-01-21,23:50,Depot B,Operations,Night,Slip / Trip,Worker slipped near transfer walkway at Depot B during night shift. Credible worst case could be life-altering.,Medical Treatment,True,True,False,True,5,2,True,65.4,96.3,1100,41.8781,-87.6298,10
HSE-1035,2026-01-22,13:30,Warehouse D,Logistics,Day,Near Miss,Near Miss event reported at Warehouse D during day shift.,Near Miss,False,False,True,False,0,2,True,59.3,86.9,1030,33.4484,-112.074,0
HSE-1036,2026-01-23,00:00,Depot A,Operations,Night,Equipment Contact,Equipment Contact event reported at Depot A during night shift. Credible worst case could be life-altering.,First Aid,True,False,False,True,3,4,True,84.0,83.9,910,39.7392,-104.9903,12
HSE-1037,2026-01-24,22:40,Depot B,Maintenance,Night,Slip / Trip,Worker slipped near transfer walkway at Depot B during night shift.,Restricted Work,True,False,False,False,2,1,True,85.2,85.2,1383,41.8781,-87.6298,2
HSE-1038,2026-01-24,06:30,Warehouse D,Maintenance,Day,Manual Handling,Manual Handling event reported at Warehouse D during day shift.,Restricted Work,False,False,False,False,1,3,True,67.7,93.1,1161,33.4484,-112.074,3
HSE-1039,2026-01-25,01:40,Warehouse D,Logistics,Night,Vehicle Interaction,Pedestrian entered forklift travel path at Warehouse D during night shift. Credible worst case could be life-altering.,First Aid,True,True,False,True,5,1,True,88.9,82.6,957,33.4484,-112.074,5
HSE-1040,2026-01-26,18:50,Depot A,Maintenance,Day,Struck By,Struck By event reported at Depot A during day shift.,Restricted Work,True,True,False,False,4,5,True,74.1,93.3,1110,39.7392,-104.9903,20
HSE-1041,2026-01-26,07:00,Depot B,Operations,Day,Equipment Contact,Equipment Contact event reported at Depot B during day shift.,First Aid,True,False,False,False,3,5,True,82.8,91.4,1016,41.8781,-87.6298,15
HSE-1042,2026-01-28,12:40,Depot B,Logistics,Day,Manual Handling,Manual Handling event reported at Depot B during day shift.,Restricted Work,False,False,False,False,1,5,False,80.6,94.0,1345,41.8781,-87.6298,5
HSE-1043,2026-01-29,18:30,Warehouse D,Operations,Day,Chemical Exposure,Chemical Exposure event reported at Warehouse D during day shift. Credible worst case could be life-altering.,Lost Time,True,False,False,True,3,2,True,64.5,95.3,1355,33.4484,-112.074,6
HSE-1044,2026-01-29,11:50,Terminal E,Operations,Day,Manual Handling,Manual Handling event reported at Terminal E during day shift.,First Aid,True,True,False,False,4,1,True,81.5,82.8,939,34.0522,-118.2437,4
HSE-1045,2026-02-01,01:50,Depot A,Operations,Night,Manual Handling,Manual Handling event reported at Depot A during night shift.,Medical Treatment,True,False,False,False,2,3,True,70.4,88.7,928,39.7392,-104.9903,6
HSE-1046,2026-02-01,22:50,Depot B,Maintenance,Night,Near Miss,Near Miss event reported at Depot B during night shift.,Near Miss,False,False,True,False,0,1,True,95.8,96.9,961,41.8781,-87.6298,0
HSE-1047,2026-02-01,08:40,Terminal E,Operations,Day,Slip / Trip,Worker slipped near transfer walkway at Terminal E during day shift.,Restricted Work,False,False,False,False,1,3,True,94.7,93.8,1034,34.0522,-118.2437,3
HSE-1048,2026-02-02,12:40,Depot A,Operations,Day,Equipment Contact,Equipment Contact event reported at Depot A during day shift.,Near Miss,False,False,True,False,0,5,True,82.6,82.8,1284,39.7392,-104.9903,0
HSE-1049,2026-02-02,00:10,Warehouse D,Logistics,Night,Manual Handling,Manual Handling event reported at Warehouse D during night shift.,Medical Treatment,False,False,False,False,1,5,False,85.2,96.2,1371,33.4484,-112.074,5
HSE-1050,2026-02-02,16:10,Terminal E,Operations,Day,Slip / Trip,Worker slipped near transfer walkway at Terminal E during day shift.,Medical Treatment,False,False,False,False,1,3,True,79.2,87.0,1087,34.0522,-118.2437,3
HSE-1051,2026-02-04,06:50,Plant C,Maintenance,Day,Slip / Trip,Worker slipped near transfer walkway at Plant C during day shift.,Near Miss,False,False,True,False,0,4,True,91.3,84.9,1236,29.7604,-95.3698,0
HSE-1052,2026-02-04,12:00,Warehouse D,Operations,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Warehouse D during day shift.,Lost Time,True,False,False,False,2,3,True,93.5,93.4,1387,33.4484,-112.074,6
HSE-1053,2026-02-04,02:50,Terminal E,Logistics,Night,Fall From Height,Elevated work task had incomplete edge protection at Terminal E.,Near Miss,False,False,True,False,0,2,True,96.7,93.8,920,34.0522,-118.2437,0
HSE-1054,2026-02-05,17:00,Plant C,Operations,Day,Struck By,Struck By event reported at Plant C during day shift.,First Aid,False,False,False,False,1,4,True,87.5,87.6,1149,29.7604,-95.3698,4
HSE-1055,2026-02-06,09:50,Depot A,Logistics,Day,Slip / Trip,Worker slipped near transfer walkway at Depot A during day shift.,Medical Treatment,True,True,False,False,4,2,True,80.0,82.7,877,39.7392,-104.9903,8
HSE-1056,2026-02-06,17:40,Depot B,Operations,Day,Chemical Exposure,Chemical Exposure event reported at Depot B during day shift.,Lost Time,False,False,False,False,1,4,True,66.7,94.4,1028,41.8781,-87.6298,4
HSE-1057,2026-02-06,01:50,Plant C,Operations,Night,Manual Handling,Manual Handling event reported at Plant C during night shift.,Restricted Work,False,False,False,False,1,5,True,96.2,92.1,1245,29.7604,-95.3698,5
HSE-1058,2026-02-07,23:50,Depot B,Operations,Night,Slip / Trip,Worker slipped near transfer walkway at Depot B during night shift.,Medical Treatment,True,False,False,False,2,1,True,85.7,82.0,1067,41.8781,-87.6298,2
HSE-1059,2026-02-07,10:40,Plant C,Operations,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Plant C during day shift. Credible worst case could be life-altering.,First Aid,True,True,False,True,5,4,False,100.0,94.8,1143,29.7604,-95.3698,20
HSE-1060,2026-02-08,12:40,Depot B,Operations,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Depot B during day shift. Credible worst case could be life-altering.,Near Miss,False,False,True,True,5,3,False,95.0,92.1,1018,41.8781,-87.6298,15
HSE-1061,2026-02-08,13:20,Plant C,Maintenance,Day,Struck By,Struck By event reported at Plant C during day shift.,Lost Time,True,True,False,False,4,5,False,72.0,82.1,1321,29.7604,-95.3698,20
HSE-1062,2026-02-08,18:50,Terminal E,Maintenance,Day,Equipment Contact,Equipment Contact event reported at Terminal E during day shift.,First Aid,True,True,False,False,4,4,True,87.5,85.3,1210,34.0522,-118.2437,16
HSE-1063,2026-02-09,14:40,Depot B,Operations,Day,Fall From Height,Elevated work task had incomplete edge protection at Depot B. Credible worst case could be life-altering.,Near Miss,False,False,True,True,5,4,True,83.3,92.1,1200,41.8781,-87.6298,20
HSE-1064,2026-02-10,22:00,Depot B,Operations,Night,Slip / Trip,Worker slipped near transfer walkway at Depot B during night shift. Credible worst case could be life-altering.,Medical Treatment,True,True,False,True,5,3,True,87.5,96.5,1396,41.8781,-87.6298,15
HSE-1065,2026-02-11,11:50,Depot A,Operations,Day,Manual Handling,Manual Handling event reported at Depot A during day shift.,First Aid,True,False,False,False,2,1,True,96.2,94.2,1135,39.7392,-104.9903,2
HSE-1066,2026-02-11,01:30,Depot B,Utilities,Night,Vehicle Interaction,Pedestrian entered forklift travel path at Depot B during night shift. Credible worst case could be life-altering.,First Aid,True,True,False,True,4,3,True,95.5,94.5,1344,41.8781,-87.6298,12
HSE-1067,2026-02-11,23:40,Terminal E,Operations,Night,Fall From Height,Elevated work task had incomplete edge protection at Terminal E.,Near Miss,False,False,True,False,0,5,True,95.8,96.8,1390,34.0522,-118.2437,0
HSE-1068,2026-02-13,12:00,Depot A,Maintenance,Day,Chemical Exposure,Chemical Exposure event reported at Depot A during day shift. Credible worst case could be life-altering.,First Aid,True,True,False,True,4,5,True,82.8,90.3,924,39.7392,-104.9903,20
HSE-1069,2026-02-14,22:50,Depot B,Logistics,Night,Slip / Trip,Worker slipped near transfer walkway at Depot B during night shift. Credible worst case could be life-altering.,Medical Treatment,True,False,False,True,3,1,True,79.2,94.3,1165,41.8781,-87.6298,3
HSE-1070,2026-02-14,12:40,Plant C,Maintenance,Day,Fall From Height,Elevated work task had incomplete edge protection at Plant C. Credible worst case could be life-altering.,First Aid,True,True,False,True,4,4,True,93.1,93.2,1117,29.7604,-95.3698,16
HSE-1071,2026-02-14,15:50,Warehouse D,Logistics,Day,Slip / Trip,Worker slipped near transfer walkway at Warehouse D during day shift.,Restricted Work,False,False,False,False,1,1,True,71.0,96.7,1248,33.4484,-112.074,1
HSE-1072,2026-02-14,13:20,Terminal E,Operations,Day,Struck By,Struck By event reported at Terminal E during day shift.,Near Miss,False,False,True,False,0,4,True,92.3,97.2,1081,34.0522,-118.2437,0
HSE-1073,2026-02-15,02:10,Depot B,Maintenance,Night,Struck By,Struck By event reported at Depot B during night shift.,Medical Treatment,True,False,False,False,2,5,False,96.4,95.1,915,41.8781,-87.6298,10
HSE-1074,2026-02-15,06:20,Plant C,Logistics,Day,Manual Handling,Manual Handling event reported at Plant C during day shift.,Restricted Work,False,False,False,False,1,2,True,62.5,90.5,1236,29.7604,-95.3698,2
HSE-1075,2026-02-15,10:00,Warehouse D,Maintenance,Day,Equipment Contact,Equipment Contact event reported at Warehouse D during day shift.,First Aid,True,True,False,False,3,4,True,93.3,82.1,900,33.4484,-112.074,12
HSE-1076,2026-02-15,00:10,Terminal E,Operations,Night,Equipment Contact,Equipment Contact event reported at Terminal E during night shift. Credible worst case could be life-altering.,Near Miss,False,False,True,True,5,1,True,72.0,93.4,1069,34.0522,-118.2437,5
HSE-1077,2026-02-16,15:40,Depot B,Logistics,Day,Struck By,Struck By event reported at Depot B during day shift.,Near Miss,False,False,True,False,0,4,True,93.3,93.3,854,41.8781,-87.6298,0
HSE-1078,2026-02-16,01:10,Plant C,Operations,Night,Chemical Exposure,Chemical Exposure event reported at Plant C during night shift.,Medical Treatment,False,False,False,False,1,2,True,82.8,98.3,1168,29.7604,-95.3698,2
HSE-1079,2026-02-16,14:00,Terminal E,Utilities,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Terminal E during day shift. Credible worst case could be life-altering.,Near Miss,False,False,True,True,3,2,True,71.4,90.1,1287,34.0522,-118.2437,6
HSE-1080,2026-02-17,02:40,Terminal E,Operations,Night,Struck By,Struck By event reported at Terminal E during night shift.,Near Miss,False,False,True,False,0,5,True,64.5,89.6,1377,34.0522,-118.2437,0
HSE-1081,2026-02-19,22:00,Depot B,Maintenance,Night,Struck By,Struck By event reported at Depot B during night shift.,Medical Treatment,True,True,False,False,4,4,True,100.0,92.7,1392,41.8781,-87.6298,16
HSE-1082,2026-02-19,22:30,Terminal E,Maintenance,Night,Slip / Trip,Worker slipped near transfer walkway at Terminal E during night shift.,First Aid,True,False,False,False,2,5,True,77.8,94.3,1112,34.0522,-118.2437,10
HSE-1083,2026-02-20,16:30,Depot A,Maintenance,Day,Slip / Trip,Worker slipped near transfer walkway at Depot A during day shift.,Lost Time,False,False,False,False,1,2,True,62.1,97.6,1166,39.7392,-104.9903,2
HSE-1084,2026-02-20,07:40,Warehouse D,Operations,Day,Slip / Trip,Worker slipped near transfer walkway at Warehouse D during day shift.,Medical Treatment,True,False,False,False,2,2,True,80.6,82.6,1106,33.4484,-112.074,4
HSE-1085,2026-02-21,08:20,Depot A,Operations,Day,Fall From Height,Elevated work task had incomplete edge protection at Depot A.,Restricted Work,True,False,False,False,2,3,True,87.1,89.9,887,39.7392,-104.9903,6
HSE-1086,2026-02-21,22:10,Plant C,Maintenance,Night,Slip / Trip,Worker slipped near transfer walkway at Plant C during night shift.,First Aid,True,True,False,False,5,4,False,100.0,85.1,1164,29.7604,-95.3698,20
HSE-1087,2026-02-21,22:30,Terminal E,Operations,Night,Vehicle Interaction,Pedestrian entered forklift travel path at Terminal E during night shift.,Medical Treatment,True,False,False,False,3,4,True,100.0,88.1,948,34.0522,-118.2437,12
HSE-1088,2026-02-22,12:30,Depot B,Logistics,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Depot B during day shift. Credible worst case could be life-altering.,First Aid,True,False,False,True,3,5,True,93.5,89.1,1262,41.8781,-87.6298,15
HSE-1089,2026-02-22,23:10,Plant C,Maintenance,Night,Struck By,Struck By event reported at Plant C during night shift.,Medical Treatment,False,False,False,False,1,5,True,78.1,85.5,1065,29.7604,-95.3698,5
HSE-1090,2026-02-22,06:10,Terminal E,Operations,Day,Slip / Trip,Worker slipped near transfer walkway at Terminal E during day shift.,Near Miss,False,False,True,False,0,5,True,81.5,88.9,1074,34.0522,-118.2437,0
HSE-1091,2026-02-23,07:20,Depot A,Logistics,Day,Equipment Contact,Equipment Contact event reported at Depot A during day shift. Credible worst case could be life-altering.,Near Miss,False,False,True,True,5,1,True,78.6,96.2,1006,39.7392,-104.9903,5
HSE-1092,2026-02-23,12:10,Plant C,Logistics,Day,Slip / Trip,Worker slipped near transfer walkway at Plant C during day shift.,Near Miss,False,False,True,False,0,4,True,90.0,87.0,1279,29.7604,-95.3698,0
HSE-1093,2026-02-23,06:30,Warehouse D,Maintenance,Day,Slip / Trip,Worker slipped near transfer walkway at Warehouse D during day shift.,First Aid,True,True,False,False,5,3,True,100.0,90.7,882,33.4484,-112.074,15
HSE-1094,2026-02-24,01:40,Depot B,Utilities,Night,Manual Handling,Manual Handling event reported at Depot B during night shift.,Restricted Work,True,False,False,False,3,3,False,79.3,98.3,1018,41.8781,-87.6298,9
HSE-1095,2026-02-24,12:20,Plant C,Maintenance,Day,Near Miss,Near Miss event reported at Plant C during day shift.,Near Miss,False,False,True,False,0,1,True,53.1,82.1,1214,29.7604,-95.3698,0
HSE-1096,2026-02-24,14:30,Terminal E,Logistics,Day,Equipment Contact,Equipment Contact event reported at Terminal E during day shift. Credible worst case could be life-altering.,Restricted Work,True,True,False,True,4,3,True,80.0,98.0,1088,34.0522,-118.2437,12
HSE-1097,2026-02-25,11:50,Plant C,Operations,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Plant C during day shift.,Near Miss,False,False,True,False,0,1,True,90.3,83.5,1279,29.7604,-95.3698,0
HSE-1098,2026-02-25,08:00,Warehouse D,Logistics,Day,Fall From Height,Elevated work task had incomplete edge protection at Warehouse D. Credible worst case could be life-altering.,Near Miss,False,False,True,True,4,3,True,68.0,95.9,1116,33.4484,-112.074,12
HSE-1099,2026-02-26,22:50,Warehouse D,Maintenance,Night,Near Miss,Near Miss event reported at Warehouse D during night shift.,Near Miss,False,False,True,False,0,2,True,85.7,85.2,888,33.4484,-112.074,0
HSE-1100,2026-02-27,22:20,Depot A,Operations,Night,Manual Handling,Manual Handling event reported at Depot A during night shift.,Medical Treatment,True,True,False,False,5,1,True,95.0,96.2,1359,39.7392,-104.9903,5
HSE-1101,2026-02-27,14:20,Plant C,Utilities,Day,Struck By,Struck By event reported at Plant C during day shift.,Restricted Work,False,False,False,False,1,5,True,75.0,86.2,1288,29.7604,-95.3698,5
HSE-1102,2026-02-27,18:30,Warehouse D,Operations,Day,Manual Handling,Manual Handling event reported at Warehouse D during day shift.,First Aid,False,False,False,False,1,2,True,100.0,83.8,1038,33.4484,-112.074,2
HSE-1103,2026-02-27,11:20,Terminal E,Utilities,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Terminal E during day shift. Credible worst case could be life-altering.,Near Miss,False,False,True,True,4,3,True,80.0,89.2,876,34.0522,-118.2437,12
HSE-1104,2026-03-01,02:50,Depot B,Logistics,Night,Slip / Trip,Worker slipped near transfer walkway at Depot B during night shift.,First Aid,True,True,False,False,5,2,False,70.8,90.5,1087,41.8781,-87.6298,10
HSE-1105,2026-03-02,17:20,Depot A,Utilities,Day,Slip / Trip,Worker slipped near transfer walkway at Depot A during day shift.,Near Miss,False,False,True,False,0,4,False,87.5,96.3,1115,39.7392,-104.9903,0
HSE-1106,2026-03-02,14:30,Warehouse D,Operations,Day,Equipment Contact,Equipment Contact event reported at Warehouse D during day shift. Credible worst case could be life-altering.,Restricted Work,True,False,False,True,3,2,True,72.4,96.0,972,33.4484,-112.074,6
HSE-1107,2026-03-02,14:20,Terminal E,Logistics,Day,Manual Handling,Manual Handling event reported at Terminal E during day shift.,Restricted Work,False,False,False,False,1,4,True,53.3,91.3,1063,34.0522,-118.2437,4
HSE-1108,2026-03-03,12:20,Plant C,Logistics,Day,Equipment Contact,Equipment Contact event reported at Plant C during day shift. Credible worst case could be life-altering.,Near Miss,False,False,True,True,3,2,True,74.2,87.6,876,29.7604,-95.3698,6
HSE-1109,2026-03-05,23:10,Plant C,Maintenance,Night,Fall From Height,Elevated work task had incomplete edge protection at Plant C. Credible worst case could be life-altering.,Medical Treatment,True,True,False,True,5,4,False,93.8,84.1,961,29.7604,-95.3698,20
HSE-1110,2026-03-05,06:00,Terminal E,Maintenance,Day,Struck By,Struck By event reported at Terminal E during day shift.,First Aid,True,True,False,False,4,3,True,100.0,92.2,890,34.0522,-118.2437,12
HSE-1111,2026-03-07,18:30,Depot B,Logistics,Day,Equipment Contact,Equipment Contact event reported at Depot B during day shift. Credible worst case could be life-altering.,Medical Treatment,True,True,False,True,5,4,True,100.0,88.2,952,41.8781,-87.6298,20
HSE-1112,2026-03-07,01:30,Plant C,Logistics,Night,Near Miss,Near Miss event reported at Plant C during night shift.,Near Miss,False,False,True,False,0,5,True,100.0,90.4,1309,29.7604,-95.3698,0
HSE-1113,2026-03-08,23:30,Depot B,Logistics,Night,Slip / Trip,Worker slipped near transfer walkway at Depot B during night shift. Credible worst case could be life-altering.,First Aid,True,True,False,True,4,5,False,86.7,91.2,1163,41.8781,-87.6298,20
HSE-1114,2026-03-08,00:50,Terminal E,Utilities,Night,Manual Handling,Manual Handling event reported at Terminal E during night shift.,Near Miss,False,False,True,False,0,5,True,92.6,93.2,927,34.0522,-118.2437,0
HSE-1115,2026-03-09,01:30,Depot B,Operations,Night,Slip / Trip,Worker slipped near transfer walkway at Depot B during night shift.,Near Miss,False,False,True,False,0,5,False,90.0,96.4,1393,41.8781,-87.6298,0
HSE-1116,2026-03-09,11:30,Plant C,Operations,Day,Fall From Height,Elevated work task had incomplete edge protection at Plant C. Credible worst case could be life-altering.,Near Miss,False,False,True,True,4,5,True,100.0,94.8,1311,29.7604,-95.3698,20
HSE-1117,2026-03-09,07:30,Warehouse D,Operations,Day,Slip / Trip,Worker slipped near transfer walkway at Warehouse D during day shift.,First Aid,True,True,False,False,4,2,True,100.0,93.6,1178,33.4484,-112.074,8
HSE-1118,2026-03-09,10:30,Terminal E,Logistics,Day,Manual Handling,Manual Handling event reported at Terminal E during day shift.,Restricted Work,False,False,False,False,1,4,False,85.0,86.9,1049,34.0522,-118.2437,4
HSE-1119,2026-03-10,08:50,Depot A,Operations,Day,Slip / Trip,Worker slipped near transfer walkway at Depot A during day shift.,Near Miss,False,False,True,False,0,2,True,93.5,82.7,1194,39.7392,-104.9903,0
HSE-1120,2026-03-10,15:20,Warehouse D,Operations,Day,Near Miss,Near Miss event reported at Warehouse D during day shift.,Near Miss,False,False,True,False,0,4,True,84.4,86.7,1346,33.4484,-112.074,0
HSE-1121,2026-03-11,10:10,Depot B,Logistics,Day,Manual Handling,Manual Handling event reported at Depot B during day shift.,Medical Treatment,True,True,False,False,3,4,True,84.4,87.4,1360,41.8781,-87.6298,12
HSE-1122,2026-03-12,02:50,Depot B,Utilities,Night,Slip / Trip,Worker slipped near transfer walkway at Depot B during night shift.,Medical Treatment,False,False,False,False,1,1,True,81.2,90.7,1072,41.8781,-87.6298,1
HSE-1123,2026-03-13,23:00,Terminal E,Maintenance,Night,Struck By,Struck By event reported at Terminal E during night shift.,First Aid,True,False,False,False,3,5,True,96.6,84.2,860,34.0522,-118.2437,15
HSE-1124,2026-03-14,22:00,Plant C,Logistics,Night,Struck By,Struck By event reported at Plant C during night shift.,Lost Time,False,False,False,False,1,3,True,89.7,94.2,915,29.7604,-95.3698,3
HSE-1125,2026-03-14,07:00,Warehouse D,Logistics,Day,Struck By,Struck By event reported at Warehouse D during day shift.,Lost Time,True,True,False,False,5,1,True,78.1,94.3,1338,33.4484,-112.074,5
HSE-1126,2026-03-14,13:20,Terminal E,Operations,Day,Manual Handling,Manual Handling event reported at Terminal E during day shift.,First Aid,True,False,False,False,2,5,True,78.6,92.9,932,34.0522,-118.2437,10
HSE-1127,2026-03-15,11:50,Terminal E,Utilities,Day,Slip / Trip,Worker slipped near transfer walkway at Terminal E during day shift.,Lost Time,True,False,False,False,2,2,True,100.0,85.3,1300,34.0522,-118.2437,4
